nombre,bodega,region,uva,precio,prices_old,like,valoracion,opinion,vinificacion
Pago de Carraovejas 2021,Bodega Pago de Carraovejas,Ribera del Duero (España),Tempranillo/ Cabernet sauvignon/ Merlot,"37,4",No descuento,173,"4,8",125,Vino tinto
José Pariente Verdejo 2022,Bodegas José Pariente ,Rueda (España),Verdejo,"10,5",No descuento,131,"4,5",158,Vino blanco
Tinto Pesquera Crianza 2020,Tinto Pesquera,Ribera del Duero (España),Tempranillo,"18,5",No descuento,103,"4,6",66,Vino tinto
Aalto 2021,Aalto,Ribera del Duero (España),Tempranillo,"38,7",No descuento,172,"4,8",118,Vino tinto
La Montesa 2020,Bodegas Palacios Remondo,Rioja (España),Garnacha/ Uvas tintas,"15,4",No descuento,385,"4,3",300,Vino tinto
Malpaso 2021,Canopy,Méntrida (España),Syrah,"14,5",No descuento,82,"3,9",12,Vino tinto
Terras Gauda 2022,Bodegas Terras Gauda,Rías Baixas (España),Albariño/ Caiño blanco/ Loureiro,"15,8",No descuento,88,"4,6",64,Vino blanco
Pago de los Capellanes Roble 2022,Pago de los Capellanes,Ribera del Duero (España),Tempranillo,"14,6",No descuento,90,"4,4",64,Vino tinto
Ramón Bilbao Crianza 2019,Bodegas Ramón Bilbao,Rioja (España),Tempranillo,"10,0",No descuento,101,"4,4",121,Vino tinto
Bozeto de Exopto 2022,Bodegas Exopto,Rioja (España),Garnacha/ Tempranillo/ Graciano,"8,6",No descuento,63,"4,2",35,Vino tinto
Pago de Valdoneje Mencía 2022,Vinos Valtuille,Bierzo (España),Mencía,"8,0",No descuento,151,"4,1",92,Vino tinto
Les Cousins L'Inconscient 2022,Les Cousins Marc & Adrià,Priorat (España),Cariñena/ Garnacha/ Cabernet sauvignon/ Merlot/ Syrah,"11,0",No descuento,120,"4,3",93,Vino tinto
Paixar 2021,Bodegas y Viñedos Luna Beberide,Bierzo (España),Mencía,"31,9",No descuento,140,"4,1",24,Vino tinto
El Castro de Valtuille Mencía Joven 2022,Bodegas y Viñedos Castro Ventosa,Bierzo (España),Mencía,"7,0",No descuento,115,"4,0",82,Vino tinto
Pepe Yllera Roble 2019,Yllera,Ribera del Duero (España),Tempranillo/ Cabernet sauvignon,"9,0",No descuento,66,"4,4",24,Vino tinto
Louro 2022,Rafael Palacios,Valdeorras (España),Godello/ Treixadura,"18,5",No descuento,53,"4,4",36,Vino blanco
Pago de los Capellanes Crianza 2021,Pago de los Capellanes,Ribera del Duero (España),Tempranillo,"26,9",No descuento,92,"4,6",51,Vino tinto
Domaines Lupier El Terroir 2018,Domaines Lupier,Navarra (España),Garnacha,"19,9",No descuento,45,"4,5",11,Vino tinto
Carmelo Rodero Crianza 2020,Bodegas Rodero,Ribera del Duero (España),Tempranillo/ Cabernet sauvignon,"23,4",No descuento,42,"4,5",22,Vino tinto
Cune Reserva 2018,Compañía Vinícola del Norte de España - CVNE,Rioja (España),Tempranillo/ Mazuelo/ Garnacha/ Graciano,"11,2",No descuento,63,"4,5",24,Vino tinto
Les Terrasses 2021,Álvaro Palacios,Priorat (España),Cariñena/ Garnacha/ Cabernet sauvignon/ Syrah,"39,6",No descuento,98,"4,4",35,Vino tinto
La Celestina 2019,Atalayas de Golbán,Ribera del Duero (España),Tempranillo,"12,9",No descuento,58,"4,3",33,Vino tinto
Almirez 2021,Teso La Monja,Toro (España),Tinta de Toro,"21,5",No descuento,81,"4,3",45,Vino tinto
Viña Ardanza Reserva 2016,La Rioja Alta,Rioja (España),Tempranillo/ Garnacha,"27,6",No descuento,250,"4,6",216,Vino tinto
Viña Tondonia Reserva 2010,Bodegas R. López de Heredia ,Rioja (España),Tempranillo/ Garnacha/ Graciano/ Mazuelo,"38,9",No descuento,309,"4,5",186,Vino tinto
Chivite Las Fincas Rosado 2022,Chivite,3 Riberas (España),Garnacha/ Tempranillo,"12,8",No descuento,38,"4,2",50,Vino rosado
Pétalos del Bierzo 2021,Descendientes de J. Palacios,Bierzo (España),Mencía/ Alicante bouschet,"17,5",No descuento,158,"4,2",84,Vino tinto
Gessamí 2022,Gramona,Penedès (España),Moscatel de grano menudo/ Sauvignon blanc/ Gewürztraminer,"13,0",No descuento,35,"4,6",42,Vino blanco
Juan Gil Etiqueta Amarilla 2022,Bodegas Juan Gil,Jumilla (España),Monastrell,"7,0",No descuento,40,"4,3",55,Vino tinto
Casar de Burbia Godello 2022,Bodega Casar de Burbia,Bierzo (España),Godello,"12,5",No descuento,20,"4,2",16,Vino blanco
Flor de Vetus 2019,Bodegas Vetus,Toro (España),Tinta de Toro/ Garnacha,"10,0",No descuento,109,"4,2",66,Vino tinto
Marqués de Murrieta 2019,Marqués de Murrieta,Rioja (España),Tempranillo/ Mazuelo/ Graciano/ Garnacha,"26,5",No descuento,171,"4,5",73,Vino tinto
Muga Reserva Selección Especial 2019,Bodegas Muga,Rioja (España),Tempranillo/ Garnacha/ Mazuelo/ Graciano,"31,9",No descuento,154,"4,7",52,Vino tinto
José Pariente Sauvignon Blanc 2022,Bodegas José Pariente ,Rueda (España),Sauvignon blanc,"10,5",No descuento,40,"4,5",36,Vino blanco
Alaya Tierra 2021,Bodegas Atalaya,Almansa (España),Garnacha tintorera,"26,0",No descuento,39,"4,9",36,Vino tinto
Rigol Brut Nature,Caves Rigol,DO Cava (España),Parellada/ Macabeo/ Xarel·lo,"4,5",No descuento,44,"4,5",67,Cava
Viña Cubillo 2015,Bodegas R. López de Heredia ,Rioja (España),Tempranillo/ Garnacha/ Mazuelo/ Graciano,"15,5",No descuento,132,"4,3",87,Vino tinto
Els Pics 2020,Bodegas Mas Alta,Priorat (España),Garnacha/ Cariñena/ Syrah/ Cabernet sauvignon,"17,4",No descuento,98,"4,3",52,Vino tinto
Muga Rosado 2022,Bodegas Muga,Rioja (España),Garnacha/ Viura/ Tempranillo,"10,0",No descuento,51,"4,6",49,Vino rosado
K-Naia 2022,Bodegas Naia,Rueda (España),Verdejo/ Sauvignon blanc,"7,2",No descuento,60,"4,4",63,Vino blanco
Perelada 5 Fincas Reserva 2018,Perelada,Empordà (España),Merlot/ Garnacha/ Cabernet sauvignon/ Syrah/ Samsó,"12,8",No descuento,65,"4,5",55,Vino tinto
Habla del Silencio 2021,Bodegas Habla,Extremadura (España),Syrah/ Cabernet sauvignon/ Tempranillo,"11,5",No descuento,58,"4,4",69,Vino tinto
Lindes de Remelluri Viñedos de San Vicente 2020,Granja Ntra. Sra de Remelluri,Rioja (España),Tempranillo/ Garnacha/ Graciano,"17,0",No descuento,151,"4,4",64,Vino tinto
Cutio Garnacha 2020,Mas de Mancuso,Cariñena (España),Garnacha/ Cariñena,"9,0",No descuento,54,"3,7",10,Vino tinto
Camins del Priorat 2022,Álvaro Palacios,Priorat (España),Garnacha/ Cabernet sauvignon/ Cariñena/ Syrah/ Merlot,"25,4",No descuento,102,"4,5",51,Vino tinto
Martín Códax Albariño 2022,Bodegas Martín Códax,Rías Baixas (España),Albariño,"14,5",No descuento,53,"4,5",64,Vino blanco
Hacienda Solano Selección 2021,Hacienda Solano,Ribera del Duero (España),Tempranillo,"13,9",No descuento,53,"4,2",20,Vino tinto
Abadía Retuerta Selección Especial 2019,Abadía Retuerta,Abadía Retuerta (España),Tempranillo/ Cabernet sauvignon/ Syrah,"32,5",No descuento,92,"4,6",68,Vino tinto
Domaines Lupier La Dama 2018,Domaines Lupier,Navarra (España),Garnacha,"36,0",No descuento,36,"5,0",1,Vino tinto
Tragolargo 2021,Bodega Vinessens,Alicante (España),Monastrell,"7,7",No descuento,38,"3,9",26,Vino tinto
Familia Oliveda Brut Jove,Celler Oliveda,DO Cava (España),Macabeo/ Xarel·lo/ Parellada,"6,4",No descuento,23,"4,6",39,Cava
Ausàs Interpretación 2019,Ausàs Bodegas y Viñedos,Ribera del Duero (España),Tempranillo,"44,0",No descuento,29,"4,2",4,Vino tinto
Mauro 2021,Bodegas Mauro,Castilla y León (España),Tempranillo/ Syrah/ Cabernet sauvignon,"35,5",No descuento,56,"4,6",36,Vino tinto
O Luar Do Sil 2022,Pago de los Capellanes,Valdeorras (España),Godello,"12,8",No descuento,36,"4,3",34,Vino blanco
Prado Enea Gran Reserva 2015,Bodegas Muga,Rioja (España),Tempranillo/ Garnacha/ Graciano/ Mazuelo,"68,0",No descuento,40,"4,8",22,Vino tinto
Familia Oliveda Brut Nature Reserva,Celler Oliveda,DO Cava (España),Macabeo/ Xarel·lo,"7,8",No descuento,16,"4,4",25,Cava
Valldolina Reserva Brut Nature,Valldolina,DO Cava (España),Macabeo/ Xarel·lo/ Parellada/ Chardonnay,"10,0",No descuento,59,"4,3",73,Cava
Honoro Vera Garnacha 2022,Bodegas Ateca,Calatayud (España),Garnacha,"6,4",No descuento,78,"4,6",77,Vino tinto
Anahí Blanco 2022,Javier San Pedro Ortega,Rioja (España),Malvasía/ Sauvignon blanc/ Tempranillo blanco,"7,0",No descuento,34,"4,6",49,Vino blanco
Dominio del Águila Reserva 2019,Dominio del Águila,Ribera del Duero (España),Tempranillo/ Garnacha/ Bobal/ Albillo,"67,8",No descuento,91,"4,9",20,Vino tinto
Condado de Haza Crianza 2020,Condado de Haza,Ribera del Duero (España),Tempranillo,"12,0",No descuento,32,"4,3",54,Vino tinto
Finca La Colina Sauvignon Blanc 2022,Vinos Sanz,Rueda (España),Sauvignon blanc,"14,9",No descuento,14,"4,7",32,Vino blanco
Victorino 2021,Teso La Monja,Toro (España),Tinta de Toro,"43,5",No descuento,38,"4,6",20,Vino tinto
Pruno 2021,Finca Villacreces,Ribera del Duero (España),Tempranillo/ Cabernet sauvignon,"12,5",No descuento,140,"4,2",168,Vino tinto
Ossian 2021,Ossian Vides y Vinos,Castilla y León (España),Verdejo,"32,5",No descuento,34,"4,8",12,Vino blanco
Cims de Porrera Vi de Vila 2018,Cims de Porrera,Priorat (España),Cariñena/ Garnacha,"17,0",No descuento,54,"4,3",29,Vino tinto
Enate Chardonnay - 234 2022,Enate,Somontano (España),Chardonnay,"9,3",No disponible,84,"4,4",119,Vino blanco
Recaredo Terrers Brut Nature 2019,Recaredo,Corpinnat (España),Xarel·lo/ Macabeo/ Parellada,"27,5",No descuento,67,"4,6",63,Cava
Bertha Brut Nature Reserva 2021,Cava Bertha,DO Cava (España),Macabeo/ Xarel·lo/ Parellada,"12,8",No descuento,8,"4,3",9,Cava
Luna Beberide Mencía 2022,Bodegas y Viñedos Luna Beberide,Bierzo (España),Mencía,"6,0",No descuento,48,"4,1",37,Vino tinto
Bocchoris Brut Nature,Bocchoris,DO Cava (España),Macabeo/ Xarel·lo/ Parellada,"6,0",No descuento,21,"4,5",21,Cava
Blanc Pescador,Perelada,Sin indicación geográfica (España),Macabeo/ Parellada/ Xarel·lo,"4,5",No descuento,23,"4,4",48,Vino blanco frizzante
Dominio del Bendito El Primer Paso 2022,Dominio del Bendito,Toro (España),Tinta de Toro,"15,4",No descuento,11,"4,2",9,Vino tinto
Francisco Barona 2021,Barona Bodegas y Viñedos,Ribera del Duero (España),Tempranillo/ Garnacha/ Albillo,"34,9",No descuento,5,"5,0",2,Vino tinto
Marqués de Riscal Reserva 2019,"Marqués de Riscal, Herederos",Rioja (España),Tempranillo/ Graciano,"16,9",No descuento,94,"4,4",82,Vino tinto
Sela 2021,Bodegas Roda,Rioja (España),Tempranillo/ Garnacha/ Graciano,"17,9",No descuento,22,"4,5",16,Vino tinto
Cutio Macabeo 2021,Mas de Mancuso,Cariñena (España),Macabeo,"9,0",No descuento,24,"5,0",2,Vino blanco
Pícaro del Águila Tinto 2021,Dominio del Águila,Ribera del Duero (España),Tempranillo/ Garnacha/ Bobal,"30,0",No descuento,51,"4,4",28,Vino tinto
Convento Oreja Roble 2022,Bodegas Convento de Oreja,Ribera del Duero (España),Tempranillo,"9,0",No descuento,6,"4,5",4,Vino tinto
Primero de Fariña 2022,Bodegas Fariña,Toro (España),Tinta de Toro,"6,7",No descuento,29,"4,5",19,Vino de maceración carbónica
Tajinaste Blanco Afrutado 2022,Tajinaste Viñedos y Bodega,Islas Canarias (España),Listán blanco/ Moscatel de Alejandría,"14,5",No descuento,7,"4,6",5,Vino blanco
Mas d'en Compte Blanc 2018,Celler Cal Pla,Priorat (España),Garnacha blanca/ Picapoll/ Xarel·lo/ Macabeo,"15,4",No descuento,23,"4,6",14,Vino blanco
Viña Bosconia Reserva 2012,Bodegas R. López de Heredia ,Rioja (España),Tempranillo/ Garnacha/ Mazuelo/ Graciano,"24,9",No descuento,95,"4,4",38,Vino tinto
Protos Roble 2021,Bodegas Protos,Ribera del Duero (España),Tempranillo,"9,5",No descuento,69,"4,3",68,Vino tinto
Raventós i Blanc de Nit 2021,Raventós i Blanc,Conca del Riu Anoia (España),Macabeo/ Xarel·lo/ Parellada/ Monastrell,"19,2",No descuento,47,"4,6",29,Cava
Viñas Elías Mora 2021,Bodegas Elías Mora ,Toro (España),Tinta de Toro,"9,8",No descuento,25,"4,2",14,Vino tinto
Clos Martinet 2021,Mas Martinet Viticultors,Priorat (España),Garnacha/ Cariñena/ Syrah/ Cabernet sauvignon/ Merlot,"63,5",No descuento,54,"4,7",13,Vino tinto
Izadi Crianza 2020,Bodegas Izadi,Rioja (España),Tempranillo,"11,0",No descuento,68,"4,2",87,Vino tinto
Remelluri Reserva 2015,Granja Ntra. Sra de Remelluri,Rioja (España),Tempranillo/ Garnacha/ Graciano/ Viura/ Malvasía,"26,6",No descuento,122,"4,5",47,Vino tinto
Luis Cañas Reserva 2016,Bodegas Luis Cañas,Rioja (España),Tempranillo/ Graciano,"17,2",No descuento,43,"4,5",35,Vino tinto
Avancia Godello 2021,Bodegas Avanthia,Valdeorras (España),Godello,"27,0",No disponible,9,"4,8",4,Vino blanco
Queiron Mi Lugar 2018,Bodegas Queiron,Rioja (España),Tempranillo/ Garnacha,"23,4",No descuento,6,"0,0",0,Vino tinto
Borsao Tres Picos 2020,Bodegas Borsao,Campo de Borja (España),Garnacha,"14,5",No descuento,41,"4,4",35,Vino tinto
Basa Blanco 2022,Compañía de Vinos de Telmo Rodríguez,Rueda (España),Verdejo/ Viura,"8,6",No descuento,36,"4,6",36,Vino blanco
Juvé & Camps Reserva de la Familia 2018,Juvé y Camps,DO Cava (España),Macabeo/ Parellada/ Xarel·lo,"19,0",No descuento,34,"4,7",43,Cava
Naranjas Azules 2022,Soto y Manrique,Cebreros (España),Garnacha,"9,5",No descuento,37,"3,7",19,Vino rosado
Ramón Bilbao Rosado 2022,Bodegas Ramón Bilbao,Rioja (España),Garnacha,"7,9",No descuento,6,"4,2",25,Vino rosado
Numanthia 2018,Numanthia Termes,Toro (España),Tinta de Toro,"52,5",No descuento,28,"4,6",13,Vino tinto
Fuentespina 3 Meses Roble 2022,Bodegas Fuentespina,Ribera del Duero (España),Tempranillo,"6,8",No descuento,4,"4,0",3,Vino tinto
Cune Imperial Reserva 2018,Compañía Vinícola del Norte de España - CVNE,Rioja (España),Tempranillo/ Graciano/ Mazuelo,"29,2",No descuento,28,"4,1",8,Vino tinto
Torre La Moreira 2022,Marqués de Vizhoja,Rías Baixas (España),Albariño,"11,0",No descuento,4,"4,9",7,Vino blanco
Santiago Ruiz 2022,Santiago Ruiz,Rías Baixas (España),Albariño/ Loureiro/ Caiño blanco/ Treixadura/ Godello,"14,9",No descuento,4,"4,4",8,Vino blanco
Prima 2020,San Román Bodegas y Viñedos,Toro (España),Tinta de Toro/ Garnacha,"12,0",No descuento,38,"4,3",30,Vino tinto
Emilio Moro 2020,Emilio Moro,Ribera del Duero (España),Tempranillo,"20,9",No descuento,74,"4,4",45,Vino tinto
Aria Brut Nature,Heredad Segura Viudas,DO Cava (España),Macabeo/ Parellada/ Xarel·lo,"7,4",No descuento,9,"4,7",10,Cava
El Coto Crianza 2019,El Coto de Rioja,Rioja (España),Tempranillo,"7,0",No descuento,97,"4,6",144,Vino tinto
Carles Andreu Gran Reserva Brut Nature 2019,Celler Carles Andreu,DO Cava (España),Parellada/ Chardonnay/ Macabeo/ Xarel·lo,"12,9",No descuento,6,"4,5",8,Cava
Fagus de Coto de Hayas Selección Especial 2020,Bodegas Aragonesas,Campo de Borja (España),Garnacha,"21,0",No descuento,17,"4,8",11,Vino tinto
Peique Godello sobre Lías 2022,Bodegas Peique,Bierzo (España),Godello,"9,0",No descuento,10,"4,5",4,Vino blanco
Viña Real Crianza 2019,Viña Real,Rioja (España),Tempranillo/ Garnacha/ Mazuelo/ Graciano,"8,4",No descuento,52,"4,1",53,Vino tinto
Peique Ramón Valle 2018,Bodegas Peique,Bierzo (España),Mencía,"8,4",No descuento,17,"4,0",31,Vino tinto
Terras de Cigarrón 2022,Adegas Galegas,Monterrei (España),Godello,"9,0",No descuento,12,"4,8",4,Vino blanco
Casa Castillo Monastrell 2021,Casa Castillo,Jumilla (España),Monastrell,"9,0",No descuento,58,"4,1",41,Vino tinto
Venta Las Vacas 2021,Bodegas Vizcarra,Ribera del Duero (España),Tempranillo,"19,6",No descuento,90,"4,6",38,Vino tinto
Viña Pomal Crianza 2020,Bodegas Bilbaínas,Rioja (España),Tempranillo,"9,0",No descuento,27,"3,8",13,Vino tinto
Montecastro 2020,Bodegas y Viñedos Montecastro,Ribera del Duero (España),Tempranillo/ Cabernet sauvignon,"20,5",No descuento,13,"4,3",11,Vino tinto
Avan Oak 2022,Bodegas y Viñedos Juan Manuel Burgos,Ribera del Duero (España),Tempranillo,"6,7",No descuento,16,"4,6",9,Vino tinto
Hacienda Monasterio 2020,Bodegas Hacienda Monasterio,Ribera del Duero (España),Tempranillo/ Cabernet sauvignon/ Merlot/ Malbec,"40,5",No descuento,81,"4,7",37,Vino tinto
Gorka Izagirre Txacoli Blanco 2022,Gorka Izagirre,Bizkaiko Txakolina (España),Hondarribi zuri/ Hondarribi zerratia,"10,0",No descuento,11,"4,6",5,Vino blanco
Protos 27 2020,Bodegas Protos,Ribera del Duero (España),Tempranillo,"27,9",No descuento,55,"4,5",31,Vino tinto
César Márquez Valtuille Vino de Villa 2020,César Márquez,Bierzo (España),Mencía/ Alicante bouschet,"19,9",No descuento,18,"0,0",0,Vino tinto
Castillo de Monte la Reina Cuvée Privée 2019,Bodegas Monte La Reina,Toro (España),Tempranillo,"20,8",No descuento,3,"4,3",3,Vino tinto
El Puntido 2020,Viñedos de Páganos,Rioja (España),Tempranillo,"38,5",No disponible,23,"4,7",19,Vino tinto
