nombre,bodega,region,uva,precio,prices_old,like,valoracion,opinion,vinificacion
Vallegarcía Viognier 2020,Pago de Vallegarcía,Castilla (España),Viognier,"24,5",No descuento,7,"4,3",10,Vino blanco
Vizcarra Senda del Oro 2021,Bodegas Vizcarra,Ribera del Duero (España),Tempranillo,"10,4",No descuento,20,"4,2",31,Vino tinto
Mestres Visol 2016,Mestres,DO Cava (España),Xarel·lo/ Macabeo/ Parellada,"21,8",No descuento,13,"5,0",2,Cava
Predicat 2018,Celler Grifoll Declara,Priorat (España),Garnacha/ Cariñena/ Merlot,"12,0",No descuento,42,"4,6",23,Vino tinto
Gramona Imperial 2017,Gramona,Corpinnat (España),Xarel·lo/ Macabeo/ Chardonnay/ Parellada,"23,2",No descuento,61,"4,7",37,Cava
Casa Castillo La Tendida 2021,Casa Castillo,Jumilla (España),Monastrell/ Garnacha,"13,9",No descuento,23,"4,0",1,Vino tinto
Palacio de Bornos Verdejo 2022,Palacio de Bornos,Rueda (España),Verdejo,"6,4",No descuento,13,"4,5",22,Vino blanco
Habla La Tierra 2021,Bodegas Habla,Extremadura (España),Tempranillo/ Cabernet sauvignon,"8,0",No descuento,9,"3,9",17,Vino tinto
Luzón Sin Sulfitos 2022,Bodegas Luzón,Jumilla (España),Monastrell,"6,0",No descuento,9,"5,0",4,Vino tinto
Coto de Imaz Reserva 2019,El Coto de Rioja,Rioja (España),Tempranillo,"10,5",No descuento,106,"4,4",98,Vino tinto
Vallegarcía Syrah 2021,Pago de Vallegarcía,Vallegarcía (España),Syrah,"24,5",No descuento,12,"4,5",4,Vino tinto
Marieta 2022,Bodegas Martín Códax,Rías Baixas (España),Albariño,"10,9",No descuento,36,"4,4",56,Vino blanco
Las Gravas 2021,Casa Castillo,Jumilla (España),Monastrell/ Garnacha,"44,5",No descuento,36,"3,9",15,Vino tinto
Frontonio Microcósmico Macabeo 2022,Bodegas Frontonio,Valdejalón (España),Macabeo,"14,2",No descuento,22,"3,0",6,Vino blanco
Tobelos Crianza 2019,Tobelos Bodegas y Viñedos,Rioja (España),Tempranillo,"11,3",No descuento,4,"4,0",3,Vino tinto
Viña Real Reserva 2017,Viña Real,Rioja (España),Tempranillo/ Graciano/ Garnacha/ Mazuelo,"14,9",No descuento,129,"4,2",40,Vino tinto
Nekeas Cepa por Cepa Garnacha 2022,Bodegas Nekeas,Navarra (España),Garnacha,"6,1",No descuento,22,"4,6",9,Vino tinto
Dehesa de los Canónigos Quinta Generación 2021,Dehesa de los Canónigos,Ribera del Duero (España),Tempranillo,"12,0",No descuento,4,"3,3",7,Vino tinto
Circe Verdejo 2022,Bodegas Avelino Vegas,Rueda (España),Verdejo,"10,0",No descuento,24,"4,6",16,Vino blanco
Rafael Cambra Soplo 2021,Bodega Rafael Cambra,Valencia (España),Garnacha,"6,0",No descuento,54,"4,0",46,Vino tinto
Petit Almodí Negre 2022,Altavins,Terra Alta (España),Garnacha/ Cariñena/ Syrah,"5,7",No descuento,24,"4,6",10,Vino tinto
Lapola 2020,Dominio do Bibei,Ribeira Sacra (España),Doña blanca/ Godello,"23,0",No descuento,12,"4,1",8,Vino blanco
Hacienda Solano Viñas Viejas 2020,Hacienda Solano,Ribera del Duero (España),Tempranillo,"26,9",No descuento,45,"4,4",21,Vino tinto
La Planta 2022,Bodegas Arzuaga Navarro,Ribera del Duero (España),Tempranillo,"9,3",No descuento,62,"4,4",75,Vino tinto
Izadi Larrosa Negra 2020,Bodegas Izadi,Rioja (España),Garnacha,"9,0",No descuento,41,"4,6",9,Vino tinto
La Celestina Vendimia Seleccionada 2019,Atalayas de Golbán,Ribera del Duero (España),Tempranillo,"14,5",No descuento,24,"4,5",6,Vino tinto
4 Kilos 2021,4 Kilos Vinícola,Mallorca (España),Callet,"36,0",No descuento,89,"4,1",33,Vino tinto
Pere Ventura Tresor Brut Rosé,Caves Pere Ventura,DO Cava (España),Trepat,"18,0",No descuento,4,"4,0",3,Cava
Las Moradas de San Martín Albillo Real 2021,Viñedos de San Martín,Vinos de Madrid (España),Albillo,"13,2",No descuento,19,"4,7",7,Vino blanco
Godina 2020,Bodegas Morca,Campo de Borja (España),Garnacha,"19,9",No descuento,4,"5,0",5,Vino tinto
Castro Ventosa Valtuille Cepas Centenarias 2020,Bodegas y Viñedos Castro Ventosa,Bierzo (España),Mencía,"41,5",No descuento,23,"4,2",9,Vino tinto
Les Brugueres Blanc 2022,La Conreria de Scala Dei,Priorat (España),Garnacha blanca,"19,6",No descuento,23,"4,6",13,Vino blanco
Les Alcusses 2019,Celler del Roure,Valencia (España),Monastrell/ Syrah/ Merlot/ Cabernet sauvignon/ Tempranillo,"10,5",No descuento,11,"4,1",31,Vino tinto
Madremía 2020,Bodegas Divina Proporción,Toro (España),Tinta de Toro,"11,0",No descuento,21,"4,2",26,Vino tinto
Lafou El Sender 2020,Lafou Celler ,Terra Alta (España),Garnacha/ Syrah/ Morenillo,"11,8",No descuento,14,"4,3",9,Vino tinto
D'Iatra Gratallops Vi de Vila 2017,Cal Batllet,Priorat (España),Cariñena/ Garnacha/ Cabernet sauvignon/ Merlot/ Syrah,"18,4",No descuento,11,"4,6",8,Vino tinto
La Sonrisa de Tares 2022,Dominio de Tares,Bierzo (España),Godello,"12,0",No descuento,20,"4,7",7,Vino blanco
Dominio de Atauta Llanos del Almendro 2016,Dominio de Atauta,Ribera del Duero (España),Tempranillo,"99,4",No descuento,7,"4,5",2,Vino tinto
Mestres Coquet Gran Reserva Brut Nature 2018,Mestres,DO Cava (España),Xarel·lo/ Macabeo/ Parellada,"17,2",No descuento,11,"4,5",13,Cava
Pita Verderrubí Verdejo Ecológico 2022,Viñedos Verderrubí,Rueda (España),Verdejo,"8,4",No descuento,3,"4,5",2,Vino blanco
Villa Conchi Brut Rosé,Villa Conchi,DO Cava (España),Trepat,"9,5",No descuento,4,"3,6",5,Cava
Edulis Crianza 2019,Bodegas Altanza,Rioja (España),Tempranillo,"7,6",No descuento,30,"4,4",19,Vino tinto
Familia Valdelana Blanco Semidulce 2022,Bodegas Valdelana,Rioja (España),Malvasía/ Viura,"6,9",No descuento,4,"4,9",8,Vino semidulce
Pago Florentino 2020,Bodegas Arzuaga Navarro,Pago Florentino (España),Cencibel,"12,9",No descuento,20,"4,5",8,Vino tinto
Agnvs Tempranillo 2021,Bodegas Valdelana,Rioja (España),Tempranillo/ Graciano,"9,0",No descuento,5,"4,0",1,Vino tinto
Ramón Bilbao Verdejo 2022,Bodegas Ramón Bilbao,Rueda (España),Verdejo,"7,5",No descuento,9,"4,2",18,Vino blanco
Formiga de Vellut 2020,Domini de la Cartoixa,Priorat (España),Garnacha/ Cariñena/ Syrah,"17,8",No descuento,20,"4,5",13,Vino tinto
Fábregas Puro Syrah 2020,Bodegas Fábregas,Somontano (España),Syrah,"12,0",No descuento,2,"0,0",0,Vino tinto
Borsao Tinto Selección 2021,Bodegas Borsao,Campo de Borja (España),Garnacha/ Syrah/ Tempranillo,"5,0",No descuento,18,"4,1",24,Vino tinto
Campillo Gran Reserva 2014,Bodegas Campillo,Rioja (España),Tempranillo/ Graciano,"27,9",No descuento,3,"4,0",3,Vino tinto
Valtravieso Crianza 2020,Bodegas y Viñedos Valtravieso,Ribera del Duero (España),Tempranillo/ Cabernet sauvignon/ Merlot,"16,5",No descuento,29,"4,5",12,Vino tinto
Huguet Reserva Brut Nature 2016,Can Feixes,Corpinnat (España),Parellada/ Macabeo/ Pinot noir,"14,9",No descuento,13,"4,2",4,Cava
Finca San Martín 2019,Torre de Oña,Rioja (España),Tempranillo,"9,6",No descuento,24,"4,0",16,Vino tinto
Grillo 2014,El Grillo y la Luna,Somontano (España),Syrah/ Cabernet sauvignon/ Garnacha/ Merlot,"38,0",No descuento,8,"4,3",3,Vino tinto
San Román 2020,San Román Bodegas y Viñedos,Toro (España),Tinta de Toro,"32,1",No descuento,67,"4,6",32,Vino tinto
Hacienda López de Haro Reserva 2017,Hacienda López de Haro,Rioja (España),Tempranillo/ Graciano,"11,4",No descuento,35,"4,2",54,Vino tinto
Monte Toro 3 Añada Selección 2022,Bodegas Ramón Ramos,Toro (España),Tinta de Toro,"5,0",No descuento,8,"4,2",8,Vino tinto
Abracadabra Toro 2021,Bodegas Divina Proporción,Toro (España),Tinta de Toro,"12,5",No descuento,10,"4,5",2,Vino tinto
Envidia Cochina 2021,Adega Familiar Eladio Piñeiro,Rías Baixas (España),Albariño,"25,0",No descuento,16,"5,0",4,Vino blanco
Garum 2021,Bodegas Luis Pérez,Cádiz (España),Merlot/ Syrah/ Petit verdot/ Tintilla de Rota,"12,8",No descuento,20,"4,2",18,Vino tinto
Remírez de Ganuza Reserva 2015,Bodegas Fernando Remírez de Ganuza,Rioja (España),Tempranillo/ Graciano,"64,0",No descuento,17,"4,5",4,Vino tinto
Marqués de Vargas Reserva 2018,Marqués de Vargas,Rioja (España),Tempranillo/ Mazuelo/ Garnacha,"27,9",No descuento,6,"4,3",3,Vino tinto
Gago 2019,Compañía de Vinos de Telmo Rodríguez,Toro (España),Tinta de Toro,"19,6",No descuento,34,"3,9",9,Vino tinto
La Fuente de Nekeas Crianza 2019,Bodegas Nekeas,Navarra (España),Cabernet sauvignon/ Tempranillo,"7,2",No descuento,1,"4,4",5,Vino tinto
Lindes de Remelluri Viñedos de Labastida 2020,Granja Ntra. Sra de Remelluri,Rioja (España),Tempranillo/ Garnacha/ Graciano,"17,0",No descuento,225,"4,4",118,Vino tinto
Dido Blanc 2021,"Venus ""La Universal""",Montsant (España),Macabeo/ Garnacha blanca/ Xarel·lo,"20,4",No descuento,29,"4,3",7,Vino blanco
Finca Dofí 2020,Álvaro Palacios,Priorat (España),Garnacha/ Cariñena/ Garnacha blanca/ Macabeo,"94,9",No descuento,24,"4,7",6,Vino tinto
De Muller Vino de Misa 1L,De Muller,Terra Alta (España),Garnacha blanca/ Macabeo,"8,3",No descuento,12,"4,7",21,Vino dulce natural
Artuke Tinto 2022,"Artuke, Bodegas y Viñedos",Rioja (España),Tempranillo/ Viura,"7,6",No descuento,21,"3,9",18,Vino tinto
Parxet Brut,Bodegas Parxet,DO Cava (España),Macabeo/ Parellada/ Pensal blanca,"12,0",No descuento,4,"4,5",2,Cava
Alma de Luzón 2019,Bodegas Luzón,Jumilla (España),Monastrell/ Syrah,"38,0",No descuento,10,"4,0",1,Vino tinto
Sking Or Queen 2021,La Unidad Viñas y Bodega,Cebreros (España),Albillo,"11,3",No descuento,1,"0,0",0,Vino naranja
Pulpo Albariño 2022,Pagos del Rey,Rías Baixas (España),Albariño,"12,5",No descuento,9,"3,8",8,Vino blanco
El Perro Verde 2022,Angel Lorenzo Cachazo,Rueda (España),Verdejo,"12,0",No descuento,36,"4,4",58,Vino blanco
Viñas del Vero Gewürztraminer 2022,Viñas del Vero,Somontano (España),Gewürztraminer,"11,5",No descuento,15,"4,4",21,Vino blanco
Casar de Burbia Mencía 2018,Bodega Casar de Burbia,Bierzo (España),Mencía,"12,5",No descuento,16,"4,0",22,Vino tinto
Viña Sastre Crianza 2020,Viña Sastre,Ribera del Duero (España),Tempranillo,"22,0",No descuento,19,"4,4",12,Vino tinto
Palacios-Remondo Propiedad 2021,Bodegas Palacios Remondo,Rioja (España),Garnacha,"28,1",No descuento,92,"4,6",18,Vino tinto
Bela 2021,Bodega Bela,Ribera del Duero (España),Tempranillo,"11,7",No descuento,30,"4,0",1,Vino tinto
Casal de Armán Blanco 2022,Bodegas Casal de Armán,Ribeiro (España),Treixadura/ Godello/ Albariño,"13,5",No descuento,6,"4,0",4,Vino blanco
Santa Rosa 2020,Enrique Mendoza Viticultor,Alicante (España),Cabernet sauvignon/ Monastrell/ Syrah/ Merlot,"22,6",No descuento,11,"4,6",7,Vino tinto
Pere Ventura Vintage 2016,Caves Pere Ventura,DO Cava (España),Xarel·lo/ Chardonnay,"34,9",No descuento,6,"5,0",1,Cava
GR-174 Casa Gran del Siurana 2022,Casa Gran del Siurana,Priorat (España),Garnacha/ Cariñena/ Cabernet sauvignon/ Merlot/ Syrah,"13,5",No descuento,23,"4,3",27,Vino tinto
Cora de Loxarel 2022,Loxarel Vitivinicultors,Penedès (España),Moscatel de Alejandría/ Xarel·lo,"8,8",No descuento,6,"4,8",4,Vino blanco
"Gramona Vi de Glass Gewürztraminer 2022 (0,37 L)",Gramona,Penedès (España),Gewürztraminer,"18,5",No descuento,7,"4,6",9,Vino de hielo
Evodia 2021,Bodegas San Alejandro,Calatayud (España),Garnacha,"7,9",No descuento,25,"4,3",18,Vino tinto
El Sequé 2021,Bodegas y Viñedos El Sequé,Alicante (España),Monastrell,"26,0",No descuento,33,"4,6",11,Vino tinto
Tocat de l'Ala 2019,Coca i Fitó & Roig Parals,Empordà (España),Garnacha/ Cariñena/ Syrah,"12,1",No descuento,20,"4,7",9,Vino tinto
Can Sumoi Garnatxa Blanca 2022,Can Sumoi,Penedès (España),Parellada/ Macabeo/ Moscatel de Alejandría,"11,5",No descuento,10,"4,8",5,Vino blanco
Recaredo Brut Nature Serral del Vell 2017,Recaredo,Corpinnat (España),Xarel·lo/ Macabeo,"36,0",No descuento,23,"4,4",11,Cava
Rafael Cambra Uno 2021,Bodega Rafael Cambra,Valencia (España),Monastrell,"14,6",No descuento,61,"4,0",11,Vino tinto
Rafael Cambra Dos 2021,Bodega Rafael Cambra,Valencia (España),Cabernet franc/ Cabernet sauvignon/ Monastrell,"10,0",No descuento,21,"4,3",13,Vino tinto
Familia Valdelana Rosado 2022,Bodegas Valdelana,Rioja (España),Garnacha/ Tempranillo,"6,0",No descuento,1,"5,0",1,Vino rosado
Carles Andreu Brut Nature Reserva 2021,Celler Carles Andreu,DO Cava (España),Parellada/ Macabeo/ Xarel·lo/ Chardonnay,"9,0",No descuento,7,"4,7",6,Cava
Lolo 2022,Bodegas y Viñedos Paco & Lola,Rías Baixas (España),Albariño,"10,2",No descuento,17,"4,0",19,Vino blanco
José Pariente Verdejo Fermentado en Barrica 2022,Bodegas José Pariente ,Rueda (España),Verdejo,"18,4",No descuento,11,"4,3",13,Vino blanco
Vi-Ve Maceración Carbónica 2022,Bodegas Valdelana,Rioja (España),Tempranillo/ Viura,"7,0",No descuento,5,"4,0",3,Vino de maceración carbónica
Pago del Vicario Petit Verdot Rosado 2022,Bodega Pago del Vicario,Castilla (España),Petit verdot,"7,9",No descuento,8,"4,6",18,Vino rosado
Viña Barredero 2022,Bodegas Contreras Ruiz,Condado de Huelva (España),Zalema,"6,9",No descuento,9,"4,2",5,Vino blanco
Beronia Crianza 2020,Bodegas Beronia,Rioja (España),Tempranillo/ Garnacha/ Graciano,"7,9",No descuento,23,"4,3",41,Vino tinto
4 Monos GR10 2021,4 Monos Viticultores,Vinos de Madrid (España),Garnacha/ Syrah/ Cariñena,"13,0",No descuento,14,"3,6",9,Vino tinto
Ferrer Bobet 2019,Ferrer Bobet,Priorat (España),Cariñena/ Syrah/ Garnacha/ Cabernet sauvignon,"40,0",No descuento,29,"4,6",12,Vino tinto
Carles Andreu Trepat 2021,Celler Carles Andreu,Conca de Barberà (España),Trepat,"15,9",No descuento,12,"4,5",10,Vino tinto
Naia 2022,Bodegas Naia,Rueda (España),Verdejo,"10,0",No descuento,17,"4,2",12,Vino blanco
Borsao Crianza 2019,Bodegas Borsao,Campo de Borja (España),Garnacha/ Tempranillo/ Merlot,"9,0",No descuento,9,"4,4",7,Vino tinto
La Nieta 2021,Viñedos de Páganos,Rioja (España),Tempranillo,"120,0",No descuento,20,"4,6",7,Vino tinto
Perelada Stars Brut Nature 2021,Perelada,DO Cava (España),Parellada/ Xarel·lo/ Macabeo,"8,8",No descuento,11,"4,5",11,Cava
Ekam 2021,Castell d'Encús,Costers del Segre (España),Riesling/ Albariño,"26,5",No descuento,17,"4,1",9,Vino blanco
Dominio de Atauta 2020,Dominio de Atauta,Ribera del Duero (España),Tempranillo,"28,8",No descuento,67,"4,4",21,Vino tinto
Mar & Cel Lácrima Baccus Blanc de Blancs 2022,Caves Lavernoya,Penedès (España),Macabeo/ Xarel·lo/ Chardonnay,"6,3",No descuento,18,"4,8",12,Vino blanco
Beronia Crianza Edición Limitada 2019,Bodegas Beronia,Rioja (España),Tempranillo,"9,5",No descuento,10,"4,5",6,Vino tinto
Ritme 2020,Ritme Celler,Priorat (España),Cariñena/ Garnacha peluda/ Garnacha,"14,9",No descuento,49,"4,6",18,Vino tinto
Troupe 2022,Mar de Envero,Rías Baixas (España),Albariño,"10,0",No descuento,12,"4,8",4,Vino blanco
Nebla Verdejo 2022,Vicente Gandía,Castilla y León (España),Verdejo,"7,2",No descuento,6,"5,0",3,Vino blanco
Mas Collet 2020,Celler Capçanes,Montsant (España),Garnacha/ Cariñena/ Cabernet sauvignon,"9,8",No descuento,15,"4,3",17,Vino tinto
Matarromera Reserva 2018,Matarromera,Ribera del Duero (España),Tempranillo,"40,0",No descuento,23,"4,5",13,Vino tinto
Habla de Ti 2022,Bodegas Habla,Sin indicación geográfica (España),Sauvignon blanc,"11,0",No descuento,11,"4,3",9,Vino blanco
Juvé & Camps Brut Rosé,Juvé y Camps,DO Cava (España),Pinot noir,"13,4","14,90",20,"4,4",17,Cava
Enate Chardonnay Fermentado en Barrica 2022,Enate,Somontano (España),Chardonnay,"18,2",No descuento,35,"4,8",36,Vino blanco
Le Naturel 2022,Aroa Bodegas,Navarra (España),Garnacha,"9,0",No descuento,30,"4,5",15,Vino tinto
Cerro Añón Reserva 2018,Bodegas Olarra,Rioja (España),Tempranillo/ Mazuelo/ Garnacha,"13,5",No descuento,8,"4,3",6,Vino tinto
Canals & Munné Lola Rosé Brut,Canals & Munné,DO Cava (España),Pinot noir,"14,5",No descuento,7,"5,0",1,Cava
Terrer de la Creu Brut Nature,Terrer de la Creu,DO Cava (España),Macabeo/ Xarel·lo/ Parellada,"7,5",No descuento,5,"5,0",1,Cava
Laurel 2021,Clos i Terrasses,Priorat (España),Garnacha/ Syrah/ Cabernet sauvignon,"49,5",No descuento,47,"4,5",24,Vino tinto
Canals & Munné Dionysus Brut Nature Eco 2021,Canals & Munné,DO Cava (España),Xarel·lo/ Chardonnay/ Macabeo,"10,0",No descuento,15,"4,8",13,Cava
Guímaro 2022,Guímaro,Ribeira Sacra (España),Mencía/ Caiño tinto/ Sousón,"11,2",No descuento,43,"3,9",15,Vino tinto
La Mateo Colección de Familia Vendimia 2020,Bodegas D. Mateos,Rioja (España),Tempranillo/ Garnacha/ Graciano,"26,0",No descuento,2,"4,4",5,Vino tinto
Adhuc Tempus Albariño 2022,Vinos Adhuc Tempus,Rías Baixas (España),Albariño,"10,8",No descuento,12,"4,0",3,Vino blanco
Quinta de Couselo 2022,Quinta de Couselo,Rías Baixas (España),Albariño/ Caiño blanco/ Loureiro/ Treixadura,"15,2",No descuento,11,"4,7",6,Vino blanco
