nombre,bodega,region,uva,precio,prices_old,like,valoracion,opinion,vinificacion,año
Pago de Carraovejas,Bodega Pago de Carraovejas,Ribera del Duero (España),Tempranillo/ Cabernet sauvignon/ Merlot,37.4,No descuento,173,4.8,125,Vino tinto,2021
José Pariente Verdejo,Bodegas José Pariente ,Rueda (España),Verdejo,10.5,No descuento,131,4.5,158,Vino blanco,2022
Tinto Pesquera Crianza,Tinto Pesquera,Ribera del Duero (España),Tempranillo,18.5,No descuento,103,4.6,66,Vino tinto,2020
Aalto,Aalto,Ribera del Duero (España),Tempranillo,38.7,No descuento,172,4.8,118,Vino tinto,2021
La Montesa,Bodegas Palacios Remondo,Rioja (España),Garnacha/ Uvas tintas,15.4,No descuento,385,4.3,300,Vino tinto,2020
Malpaso,Canopy,Méntrida (España),Syrah,14.5,No descuento,82,3.9,12,Vino tinto,2021
Terras Gauda,Bodegas Terras Gauda,Rías Baixas (España),Albariño/ Caiño blanco/ Loureiro,15.8,No descuento,88,4.6,64,Vino blanco,2022
Pago de los Capellanes Roble,Pago de los Capellanes,Ribera del Duero (España),Tempranillo,14.6,No descuento,90,4.4,64,Vino tinto,2022
Ramón Bilbao Crianza,Bodegas Ramón Bilbao,Rioja (España),Tempranillo,10.0,No descuento,101,4.4,121,Vino tinto,2019
Bozeto de Exopto,Bodegas Exopto,Rioja (España),Garnacha/ Tempranillo/ Graciano,8.6,No descuento,63,4.2,35,Vino tinto,2022
Pago de Valdoneje Mencía,Vinos Valtuille,Bierzo (España),Mencía,8.0,No descuento,151,4.1,92,Vino tinto,2022
Les Cousins L'Inconscient,Les Cousins Marc & Adrià,Priorat (España),Cariñena/ Garnacha/ Cabernet sauvignon/ Merlot/ Syrah,11.0,No descuento,120,4.3,93,Vino tinto,2022
Paixar,Bodegas y Viñedos Luna Beberide,Bierzo (España),Mencía,31.9,No descuento,140,4.1,24,Vino tinto,2021
El Castro de Valtuille Mencía Joven,Bodegas y Viñedos Castro Ventosa,Bierzo (España),Mencía,7.0,No descuento,115,4.0,82,Vino tinto,2022
Pepe Yllera Roble,Yllera,Ribera del Duero (España),Tempranillo/ Cabernet sauvignon,9.0,No descuento,66,4.4,24,Vino tinto,2019
Louro,Rafael Palacios,Valdeorras (España),Godello/ Treixadura,18.5,No descuento,53,4.4,36,Vino blanco,2022
Pago de los Capellanes Crianza,Pago de los Capellanes,Ribera del Duero (España),Tempranillo,26.9,No descuento,92,4.6,51,Vino tinto,2021
Domaines Lupier El Terroir,Domaines Lupier,Navarra (España),Garnacha,19.9,No descuento,45,4.5,11,Vino tinto,2018
Carmelo Rodero Crianza,Bodegas Rodero,Ribera del Duero (España),Tempranillo/ Cabernet sauvignon,23.4,No descuento,42,4.5,22,Vino tinto,2020
Cune Reserva,Compañía Vinícola del Norte de España - CVNE,Rioja (España),Tempranillo/ Mazuelo/ Garnacha/ Graciano,11.2,No descuento,63,4.5,24,Vino tinto,2018
Les Terrasses,Álvaro Palacios,Priorat (España),Cariñena/ Garnacha/ Cabernet sauvignon/ Syrah,39.6,No descuento,98,4.4,35,Vino tinto,2021
La Celestina,Atalayas de Golbán,Ribera del Duero (España),Tempranillo,12.9,No descuento,58,4.3,33,Vino tinto,2019
Almirez,Teso La Monja,Toro (España),Tinta de Toro,21.5,No descuento,81,4.3,45,Vino tinto,2021
Viña Ardanza Reserva,La Rioja Alta,Rioja (España),Tempranillo/ Garnacha,27.6,No descuento,250,4.6,216,Vino tinto,2016
Viña Tondonia Reserva,Bodegas R. López de Heredia ,Rioja (España),Tempranillo/ Garnacha/ Graciano/ Mazuelo,38.9,No descuento,309,4.5,186,Vino tinto,2010
Chivite Las Fincas Rosado,Chivite,3 Riberas (España),Garnacha/ Tempranillo,12.8,No descuento,38,4.2,50,Vino rosado,2022
Pétalos del Bierzo,Descendientes de J. Palacios,Bierzo (España),Mencía/ Alicante bouschet,17.5,No descuento,158,4.2,84,Vino tinto,2021
Gessamí,Gramona,Penedès (España),Moscatel de grano menudo/ Sauvignon blanc/ Gewürztraminer,13.0,No descuento,35,4.6,42,Vino blanco,2022
Juan Gil Etiqueta Amarilla,Bodegas Juan Gil,Jumilla (España),Monastrell,7.0,No descuento,40,4.3,55,Vino tinto,2022
Casar de Burbia Godello,Bodega Casar de Burbia,Bierzo (España),Godello,12.5,No descuento,20,4.2,16,Vino blanco,2022
Flor de Vetus,Bodegas Vetus,Toro (España),Tinta de Toro/ Garnacha,10.0,No descuento,109,4.2,66,Vino tinto,2019
Marqués de Murrieta,Marqués de Murrieta,Rioja (España),Tempranillo/ Mazuelo/ Graciano/ Garnacha,26.5,No descuento,171,4.5,73,Vino tinto,2019
Muga Reserva Selección Especial,Bodegas Muga,Rioja (España),Tempranillo/ Garnacha/ Mazuelo/ Graciano,31.9,No descuento,154,4.7,52,Vino tinto,2019
José Pariente Sauvignon Blanc,Bodegas José Pariente ,Rueda (España),Sauvignon blanc,10.5,No descuento,40,4.5,36,Vino blanco,2022
Alaya Tierra,Bodegas Atalaya,Almansa (España),Garnacha tintorera,26.0,No descuento,39,4.9,36,Vino tinto,2021
Rigol Brut N,Caves Rigol,DO Cava (España),Parellada/ Macabeo/ Xarel·lo,4.5,No descuento,44,4.5,67,Cava,
Viña Cubillo,Bodegas R. López de Heredia ,Rioja (España),Tempranillo/ Garnacha/ Mazuelo/ Graciano,15.5,No descuento,132,4.3,87,Vino tinto,2015
Els Pics,Bodegas Mas Alta,Priorat (España),Garnacha/ Cariñena/ Syrah/ Cabernet sauvignon,17.4,No descuento,98,4.3,52,Vino tinto,2020
Muga Rosado,Bodegas Muga,Rioja (España),Garnacha/ Viura/ Tempranillo,10.0,No descuento,51,4.6,49,Vino rosado,2022
K-Naia,Bodegas Naia,Rueda (España),Verdejo/ Sauvignon blanc,7.2,No descuento,60,4.4,63,Vino blanco,2022
Perelada 5 Fincas Reserva,Perelada,Empordà (España),Merlot/ Garnacha/ Cabernet sauvignon/ Syrah/ Samsó,12.8,No descuento,65,4.5,55,Vino tinto,2018
Habla del Silencio,Bodegas Habla,Extremadura (España),Syrah/ Cabernet sauvignon/ Tempranillo,11.5,No descuento,58,4.4,69,Vino tinto,2021
Lindes de Remelluri Viñedos de San Vicente,Granja Ntra. Sra de Remelluri,Rioja (España),Tempranillo/ Garnacha/ Graciano,17.0,No descuento,151,4.4,64,Vino tinto,2020
Cutio Garnacha,Mas de Mancuso,Cariñena (España),Garnacha/ Cariñena,9.0,No descuento,54,3.7,10,Vino tinto,2020
Camins del Priorat,Álvaro Palacios,Priorat (España),Garnacha/ Cabernet sauvignon/ Cariñena/ Syrah/ Merlot,25.4,No descuento,102,4.5,51,Vino tinto,2022
Martín Códax Albariño,Bodegas Martín Códax,Rías Baixas (España),Albariño,14.5,No descuento,53,4.5,64,Vino blanco,2022
Hacienda Solano Selección,Hacienda Solano,Ribera del Duero (España),Tempranillo,13.9,No descuento,53,4.2,20,Vino tinto,2021
Abadía Retuerta Selección Especial,Abadía Retuerta,Abadía Retuerta (España),Tempranillo/ Cabernet sauvignon/ Syrah,32.5,No descuento,92,4.6,68,Vino tinto,2019
Domaines Lupier La Dama,Domaines Lupier,Navarra (España),Garnacha,36.0,No descuento,36,5.0,1,Vino tinto,2018
Tragolargo,Bodega Vinessens,Alicante (España),Monastrell,7.7,No descuento,38,3.9,26,Vino tinto,2021
Familia Oliveda Brut,Celler Oliveda,DO Cava (España),Macabeo/ Xarel·lo/ Parellada,6.4,No descuento,23,4.6,39,Cava,
Ausàs Interpretación,Ausàs Bodegas y Viñedos,Ribera del Duero (España),Tempranillo,44.0,No descuento,29,4.2,4,Vino tinto,2019
Mauro,Bodegas Mauro,Castilla y León (España),Tempranillo/ Syrah/ Cabernet sauvignon,35.5,No descuento,56,4.6,36,Vino tinto,2021
O Luar Do Sil,Pago de los Capellanes,Valdeorras (España),Godello,12.8,No descuento,36,4.3,34,Vino blanco,2022
Prado Enea Gran Reserva,Bodegas Muga,Rioja (España),Tempranillo/ Garnacha/ Graciano/ Mazuelo,68.0,No descuento,40,4.8,22,Vino tinto,2015
Familia Oliveda Brut Nature Re,Celler Oliveda,DO Cava (España),Macabeo/ Xarel·lo,7.8,No descuento,16,4.4,25,Cava,
Valldolina Reserva Brut N,Valldolina,DO Cava (España),Macabeo/ Xarel·lo/ Parellada/ Chardonnay,10.0,No descuento,59,4.3,73,Cava,
Honoro Vera Garnacha,Bodegas Ateca,Calatayud (España),Garnacha,6.4,No descuento,78,4.6,77,Vino tinto,2022
Anahí Blanco,Javier San Pedro Ortega,Rioja (España),Malvasía/ Sauvignon blanc/ Tempranillo blanco,7.0,No descuento,34,4.6,49,Vino blanco,2022
Dominio del Águila Reserva,Dominio del Águila,Ribera del Duero (España),Tempranillo/ Garnacha/ Bobal/ Albillo,67.8,No descuento,91,4.9,20,Vino tinto,2019
Condado de Haza Crianza,Condado de Haza,Ribera del Duero (España),Tempranillo,12.0,No descuento,32,4.3,54,Vino tinto,2020
Finca La Colina Sauvignon Blanc,Vinos Sanz,Rueda (España),Sauvignon blanc,14.9,No descuento,14,4.7,32,Vino blanco,2022
Victorino,Teso La Monja,Toro (España),Tinta de Toro,43.5,No descuento,38,4.6,20,Vino tinto,2021
Pruno,Finca Villacreces,Ribera del Duero (España),Tempranillo/ Cabernet sauvignon,12.5,No descuento,140,4.2,168,Vino tinto,2021
Ossian,Ossian Vides y Vinos,Castilla y León (España),Verdejo,32.5,No descuento,34,4.8,12,Vino blanco,2021
Cims de Porrera Vi de Vila,Cims de Porrera,Priorat (España),Cariñena/ Garnacha,17.0,No descuento,54,4.3,29,Vino tinto,2018
Enate Chardonnay - 234,Enate,Somontano (España),Chardonnay,9.3,No disponible,84,4.4,119,Vino blanco,2022
Recaredo Terrers Brut Nature,Recaredo,Corpinnat (España),Xarel·lo/ Macabeo/ Parellada,27.5,No descuento,67,4.6,63,Cava,2019
Bertha Brut Nature Reserva,Cava Bertha,DO Cava (España),Macabeo/ Xarel·lo/ Parellada,12.8,No descuento,8,4.3,9,Cava,2021
Luna Beberide Mencía,Bodegas y Viñedos Luna Beberide,Bierzo (España),Mencía,6.0,No descuento,48,4.1,37,Vino tinto,2022
Bocchoris Brut N,Bocchoris,DO Cava (España),Macabeo/ Xarel·lo/ Parellada,6.0,No descuento,21,4.5,21,Cava,
Blanc Pes,Perelada,Sin indicación geográfica (España),Macabeo/ Parellada/ Xarel·lo,4.5,No descuento,23,4.4,48,Vino blanco frizzante,
Dominio del Bendito El Primer Paso,Dominio del Bendito,Toro (España),Tinta de Toro,15.4,No descuento,11,4.2,9,Vino tinto,2022
Francisco Barona,Barona Bodegas y Viñedos,Ribera del Duero (España),Tempranillo/ Garnacha/ Albillo,34.9,No descuento,5,5.0,2,Vino tinto,2021
Marqués de Riscal Reserva,"Marqués de Riscal, Herederos",Rioja (España),Tempranillo/ Graciano,16.9,No descuento,94,4.4,82,Vino tinto,2019
Sela,Bodegas Roda,Rioja (España),Tempranillo/ Garnacha/ Graciano,17.9,No descuento,22,4.5,16,Vino tinto,2021
Cutio Macabeo,Mas de Mancuso,Cariñena (España),Macabeo,9.0,No descuento,24,5.0,2,Vino blanco,2021
Pícaro del Águila Tinto,Dominio del Águila,Ribera del Duero (España),Tempranillo/ Garnacha/ Bobal,30.0,No descuento,51,4.4,28,Vino tinto,2021
Convento Oreja Roble,Bodegas Convento de Oreja,Ribera del Duero (España),Tempranillo,9.0,No descuento,6,4.5,4,Vino tinto,2022
Primero de Fariña,Bodegas Fariña,Toro (España),Tinta de Toro,6.7,No descuento,29,4.5,19,Vino de maceración carbónica,2022
Tajinaste Blanco Afrutado,Tajinaste Viñedos y Bodega,Islas Canarias (España),Listán blanco/ Moscatel de Alejandría,14.5,No descuento,7,4.6,5,Vino blanco,2022
Mas d'en Compte Blanc,Celler Cal Pla,Priorat (España),Garnacha blanca/ Picapoll/ Xarel·lo/ Macabeo,15.4,No descuento,23,4.6,14,Vino blanco,2018
Viña Bosconia Reserva,Bodegas R. López de Heredia ,Rioja (España),Tempranillo/ Garnacha/ Mazuelo/ Graciano,24.9,No descuento,95,4.4,38,Vino tinto,2012
Protos Roble,Bodegas Protos,Ribera del Duero (España),Tempranillo,9.5,No descuento,69,4.3,68,Vino tinto,2021
Raventós i Blanc de Nit,Raventós i Blanc,Conca del Riu Anoia (España),Macabeo/ Xarel·lo/ Parellada/ Monastrell,19.2,No descuento,47,4.6,29,Cava,2021
Viñas Elías Mora,Bodegas Elías Mora ,Toro (España),Tinta de Toro,9.8,No descuento,25,4.2,14,Vino tinto,2021
Clos Martinet,Mas Martinet Viticultors,Priorat (España),Garnacha/ Cariñena/ Syrah/ Cabernet sauvignon/ Merlot,63.5,No descuento,54,4.7,13,Vino tinto,2021
Izadi Crianza,Bodegas Izadi,Rioja (España),Tempranillo,11.0,No descuento,68,4.2,87,Vino tinto,2020
Remelluri Reserva,Granja Ntra. Sra de Remelluri,Rioja (España),Tempranillo/ Garnacha/ Graciano/ Viura/ Malvasía,26.6,No descuento,122,4.5,47,Vino tinto,2015
Luis Cañas Reserva,Bodegas Luis Cañas,Rioja (España),Tempranillo/ Graciano,17.2,No descuento,43,4.5,35,Vino tinto,2016
Avancia Godello,Bodegas Avanthia,Valdeorras (España),Godello,27.0,No disponible,9,4.8,4,Vino blanco,2021
Queiron Mi Lugar,Bodegas Queiron,Rioja (España),Tempranillo/ Garnacha,23.4,No descuento,6,0.0,0,Vino tinto,2018
Borsao Tres Picos,Bodegas Borsao,Campo de Borja (España),Garnacha,14.5,No descuento,41,4.4,35,Vino tinto,2020
Basa Blanco,Compañía de Vinos de Telmo Rodríguez,Rueda (España),Verdejo/ Viura,8.6,No descuento,36,4.6,36,Vino blanco,2022
Juvé & Camps Reserva de la Familia,Juvé y Camps,DO Cava (España),Macabeo/ Parellada/ Xarel·lo,19.0,No descuento,34,4.7,43,Cava,2018
Naranjas Azules,Soto y Manrique,Cebreros (España),Garnacha,9.5,No descuento,37,3.7,19,Vino rosado,2022
Ramón Bilbao Rosado,Bodegas Ramón Bilbao,Rioja (España),Garnacha,7.9,No descuento,6,4.2,25,Vino rosado,2022
Numanthia,Numanthia Termes,Toro (España),Tinta de Toro,52.5,No descuento,28,4.6,13,Vino tinto,2018
Fuentespina 3 Meses Roble,Bodegas Fuentespina,Ribera del Duero (España),Tempranillo,6.8,No descuento,4,4.0,3,Vino tinto,2022
Cune Imperial Reserva,Compañía Vinícola del Norte de España - CVNE,Rioja (España),Tempranillo/ Graciano/ Mazuelo,29.2,No descuento,28,4.1,8,Vino tinto,2018
Torre La Moreira,Marqués de Vizhoja,Rías Baixas (España),Albariño,11.0,No descuento,4,4.9,7,Vino blanco,2022
Santiago Ruiz,Santiago Ruiz,Rías Baixas (España),Albariño/ Loureiro/ Caiño blanco/ Treixadura/ Godello,14.9,No descuento,4,4.4,8,Vino blanco,2022
Prima,San Román Bodegas y Viñedos,Toro (España),Tinta de Toro/ Garnacha,12.0,No descuento,38,4.3,30,Vino tinto,2020
Emilio Moro,Emilio Moro,Ribera del Duero (España),Tempranillo,20.9,No descuento,74,4.4,45,Vino tinto,2020
Aria Brut N,Heredad Segura Viudas,DO Cava (España),Macabeo/ Parellada/ Xarel·lo,7.4,No descuento,9,4.7,10,Cava,
El Coto Crianza,El Coto de Rioja,Rioja (España),Tempranillo,7.0,No descuento,97,4.6,144,Vino tinto,2019
Carles Andreu Gran Reserva Brut Nature,Celler Carles Andreu,DO Cava (España),Parellada/ Chardonnay/ Macabeo/ Xarel·lo,12.9,No descuento,6,4.5,8,Cava,2019
Fagus de Coto de Hayas Selección Especial,Bodegas Aragonesas,Campo de Borja (España),Garnacha,21.0,No descuento,17,4.8,11,Vino tinto,2020
Peique Godello sobre Lías,Bodegas Peique,Bierzo (España),Godello,9.0,No descuento,10,4.5,4,Vino blanco,2022
Viña Real Crianza,Viña Real,Rioja (España),Tempranillo/ Garnacha/ Mazuelo/ Graciano,8.4,No descuento,52,4.1,53,Vino tinto,2019
Peique Ramón Valle,Bodegas Peique,Bierzo (España),Mencía,8.4,No descuento,17,4.0,31,Vino tinto,2018
Terras de Cigarrón,Adegas Galegas,Monterrei (España),Godello,9.0,No descuento,12,4.8,4,Vino blanco,2022
Casa Castillo Monastrell,Casa Castillo,Jumilla (España),Monastrell,9.0,No descuento,58,4.1,41,Vino tinto,2021
Venta Las Vacas,Bodegas Vizcarra,Ribera del Duero (España),Tempranillo,19.6,No descuento,90,4.6,38,Vino tinto,2021
Viña Pomal Crianza,Bodegas Bilbaínas,Rioja (España),Tempranillo,9.0,No descuento,27,3.8,13,Vino tinto,2020
Montecastro,Bodegas y Viñedos Montecastro,Ribera del Duero (España),Tempranillo/ Cabernet sauvignon,20.5,No descuento,13,4.3,11,Vino tinto,2020
Avan Oak,Bodegas y Viñedos Juan Manuel Burgos,Ribera del Duero (España),Tempranillo,6.7,No descuento,16,4.6,9,Vino tinto,2022
Hacienda Monasterio,Bodegas Hacienda Monasterio,Ribera del Duero (España),Tempranillo/ Cabernet sauvignon/ Merlot/ Malbec,40.5,No descuento,81,4.7,37,Vino tinto,2020
Gorka Izagirre Txacoli Blanco,Gorka Izagirre,Bizkaiko Txakolina (España),Hondarribi zuri/ Hondarribi zerratia,10.0,No descuento,11,4.6,5,Vino blanco,2022
Protos 27,Bodegas Protos,Ribera del Duero (España),Tempranillo,27.9,No descuento,55,4.5,31,Vino tinto,2020
César Márquez Valtuille Vino de Villa,César Márquez,Bierzo (España),Mencía/ Alicante bouschet,19.9,No descuento,18,0.0,0,Vino tinto,2020
Castillo de Monte la Reina Cuvée Privée,Bodegas Monte La Reina,Toro (España),Tempranillo,20.8,No descuento,3,4.3,3,Vino tinto,2019
El Puntido,Viñedos de Páganos,Rioja (España),Tempranillo,38.5,No disponible,23,4.7,19,Vino tinto,2020
