wine,body,acidity,rating
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Tinto,5,3,4.9
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Pingus,5,3,4.8
Pingus,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Pingus,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Pingus,5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
Unico,5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
Unico,5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
Unico,5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
"El Anejon",5,3,4.8
Unico,5,3,4.8
Pingus,5,3,4.8
Pingus,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
Tinto,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Pingus,5,3,4.8
Pingus,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Pingus,5,3,4.8
Pingus,5,3,4.8
Pingus,5,3,4.8
Pingus,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Pingus,5,3,4.8
Pingus,5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Pingus,5,3,4.8
Pingus,5,3,4.8
Pingus,5,3,4.8
Pingus,5,3,4.8
Tinto,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Don PX Convento Seleccion",5,1,4.8
"Don PX Convento Seleccion",5,1,4.8
"Don PX Convento Seleccion",5,1,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
Pingus,5,3,4.8
Pingus,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Pingus,5,3,4.8
Pingus,5,3,4.8
Pingus,5,3,4.8
Pingus,5,3,4.8
"Cuesta de Las Liebres",5,3,4.8
Pingus,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"El Anejon",5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Pingus,5,3,4.8
"Pesus Ribera del Duero",5,3,4.8
"Don PX Convento Seleccion",5,1,4.8
"Don PX Convento Seleccion",5,1,4.8
"Don PX Convento Seleccion",5,1,4.8
"Don PX Pedro Ximenez",5,1,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
"Don PX Convento Seleccion",5,1,4.8
"Don PX Convento Seleccion",5,1,4.8
"Don PX Convento Seleccion",5,1,4.8
Tinto,5,3,4.8
Unico,5,3,4.8
"Cuesta de Las Liebres",5,3,4.8
Unico,5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
Tinto,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
"Unico Reserva Especial Edicion",5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
Unico,5,3,4.8
